,roles,companies,locations,experience,skills,Dates,PresentDate,salary
0,Urgent Opening For RMOs,Wockhardt Hospitals,"Mumbai Suburban, Mumbai (All Areas)(Mumbai Central)",23 Nov - 02 Dec,medicalwardsresident medical officerRmo,1 Day Ago,2024-11-24,4-5 Lacs PA
1,Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Clin Infotech,"Hyderabad/ Secunderabad, Pune, Bangalore/ Bengaluru",0-1 Yrs,PharmacovigilancePharmaceuticsMedDRAPVPharmacologyPharmDClinical TrialsLife Sciences,15 Days Ago,2024-11-24,Not disclosed
2,ERP Project Management Office,Merck,Bengaluru,1-3 Yrs,Business communicationAdministrationERPProject managementTraining need analysisBudgetingManagementJIRA,1 Day Ago,2024-11-24,Not disclosed
3,Content Creator,Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Social media marketingMarketing programsScientific writingHealthcareBrand awarenessContent writingLink buildingCreative writing,30+ Days Ago,2024-11-24,Not disclosed
4,"Associate Scientist, QPP",Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,Manager Quality AssuranceSASISOScientific writingPharmacyPharmaClinical trialsClinical research,1 Day Ago,2024-11-24,Not disclosed
5,Beauty Therapist,Kaya Skin Clinic,"Kolkata, Mumbai, Delhi, Pune, Chennai, Bengaluru",3-5 Yrs,doctormbbsMedicalmedicineMedical OfficermediBeauty,30+ Days Ago,2024-11-24,Not disclosed
6,Apprentice Maintenance,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,project managementstrategic thinkingteam managementproblem analysisleadershipleadership skillswritingpresentation skills,3 Days Ago,2024-11-24,Not disclosed
7,National Customer Marketing Manager,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-9 Yrs,TradeSales strategyNutritionAccountingE-commerceLogistics managementFMCGKey account management,2 Days Ago,2024-11-24,Not disclosed
8,"Requirement of IVF Clinician at Fortis Hospital, Bg Road,Bangalore.",Fortis,Bengaluru(Bannerghatta Road),0-3 Yrs,IvfBgRequirementsHospital,4 Days Ago,2024-11-24,Not disclosed
9,Digital Marketing Specialist,Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Customer acquisitionData analysisSocial mediaWeb developmentHealthcareSEMSEODigital marketing,30+ Days Ago,2024-11-24,Not disclosed
10,Senior Nutrition Sales Executive - Bangalore,Abbott,Bengaluru,5-12 Yrs,customer segmentationConsultative salesNutritionHealthcareAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,1 Day Ago,2024-11-24,Not disclosed
11,Senior Territory Sales Executive,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-13 Yrs,Stock replenishmentNutritionComplianceinduction trainingManagement systemsBusiness strategyMerchandisingForecasting,3 Days Ago,2024-11-24,Not disclosed
12,"Urgent req of CTVS clinician at Fortis hospital, BG Road, Bangalore.",Fortis,Bengaluru(Bannerghatta Road),20 Nov - 29 Nov,CardiovascularVascularBgCtvsHospital,4 Days Ago,2024-11-24,Not disclosed
13,"Urgent req of Gastroenterologis at Fortis Hospital, Bg Road, Bangalore",Fortis,Bengaluru(Bannerghatta Road),0-3 Yrs,MedicineBgHospital,2 Days Ago,2024-11-24,12-16 Lacs PA
14,Senior Statistical Programmer FSP,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer sciencedata manipulationXMLAnalyticalPharmaClinical trialsISSOncology,1 Day Ago,2024-11-24,Not disclosed
15,"Full Stack Developer, eCommerce",Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,GraphicsLinuxNetworkingCodingMySQLDebuggingJavascriptPHP,30+ Days Ago,2024-11-24,Not disclosed
16,National Account Manager - MT - Mumbai,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-20 Yrs,Relationship managementTradeNetworkingNutritionCSDBusiness planningLogistics managementFMCG,2 Days Ago,2024-11-24,Not disclosed
17,Key Account Manager (pharmaceutical company),pharmaceutical company,"Mumbai, New Delhi, Bengaluru",3-8 Yrs,Diagnostic SalesMedical DevicesMedical Equipmentpharmaceutical salesPharma MarketingPharma SellingHealthcare SalesDiagnostics,1 Day Ago,2024-11-24,5-8 Lacs PA
18,Area Sales Manager,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,People developmentNetworkingNutritionTrade salesTalent acquisitionChannel salesFMCGBusiness intelligence,1 Day Ago,2024-11-24,Not disclosed
19,HR Automation,Manipal Hospitals,Bengaluru,10-15 Yrs,data managementdata analyticsreport generationprocess optimizationdata integritytrainingteachingprofessional development,2 Days Ago,2024-11-24,Not disclosed
20,VRX Consultant,VISION RX LAB,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,Product trainingProduction managementSalesProductionPresalesCustomer serviceSales trainingManagement,30+ Days Ago,2024-11-24,Not disclosed
21,Manager Invested Stores,Abbott,Mumbai,2-4 Yrs,Vendor ManagerNutritionVisual MerchandisingShop floorTrade marketingCost managementBudgetingForecasting,1 Day Ago,2024-11-24,Not disclosed
22,Territory Business Manager- Multitherapy,Abbott,Mumbai,1-14 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementPharmaceutical,1 Day Ago,2024-11-24,Not disclosed
23,Territory Business Manager- Infinia - Bhavnagar,Abbott,Mumbai,1-14 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementPharmaceutical,2 Days Ago,2024-11-24,Not disclosed
24,Business Executive,Merck,Mumbai,1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPharmaceutical,1 Day Ago,2024-11-24,Not disclosed
26,Business Executive,Merck,"Mumbai, Navi Mumbai",1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPharmaceutical,2 Days Ago,2024-11-24,Not disclosed
27,Certified Experience Medical Coder,IKS HEALTH,"Hyderabad, Navi Mumbai",1-6 Yrs,Medical CodingE/MSDSENMICDMedical CoderAnatomyGeneral Surgery,2 Days Ago,2024-11-24,Not disclosed
28,Hiring||Executive/Sr Executive -HR- Mumbai,Dr Lal PathLabs,Mumbai,3-4 Yrs,Sourcing ProfilesEnd To End RecruitmentRecruitmentTalent AcquisitionOffer GenerationSales HiringVolume HiringMIS Updation,2 Days Ago,2024-11-24,Not disclosed
29,HR Executive For Biotech Company in Navi Mumbai,Randstad India Pvt Ltd,Navi Mumbai,2-4 Yrs,Job PortalsCommunication Skills Writtencreative thinkingMS OfficeStakeholder ManagementOnedriveTeamplayerJob Diva,2 Days Ago,2024-11-24,4-4.25 Lacs PA
30,Marketing Coordinator,MOC CANCER CARE & RESEARCH CENTRE,"Mumbai(Andheri East), Mumbai Suburban, Mumbai (All Areas)",3-8 Yrs,Communication SkillsLead GenerationInbound Callspatient coordinationOutbound CallingFixing AppointmentsCold CallingAppointment Generation,1 Day Ago,2024-11-24,2-3 Lacs PA
31,Senior Nutrition Sales Executive - Hyderabad,Abbott,Mumbai,5-12 Yrs,customer segmentationConsultative salesNutritionPatient careAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,1 Day Ago,2024-11-24,Not disclosed
32,Scientific Officer,Srl Dr Avinash Phadke Labs,Mumbai,0-4 Yrs,DiagnosticsManagement systemsInformation managementManager Quality ControlMolecular biologyPCRInventoryTesting,4 Days Ago,2024-11-24,Not disclosed
33,Senior Sales Force Effectiveness,Dermis Oracle Pvt Ltd,Mumbai,6-10 Yrs,SfeKPI MonitoringCLMSales EffectivenessSales Force AutomationCrm Implementationcommercial excellenceSalesforce CRM,1 Day Ago,2024-11-24,15-18 Lacs PA
34,Pharmacovigilance Associate I,Watson Pharama,Bengaluru,3-4 Yrs,Selection processPharmacovigilance AssociateManager Quality AssurancePharmaPharmacyHealthcareLife sciencesPharmacovigilance,4 Days Ago,2024-11-24,Not disclosed
35,Senior manager ER & Statutory Compliance,Watson Pharama,Bengaluru,6-10 Yrs,Performance managementComplianceConflict resolutionPharmaStatutory complianceLabourManagementPerformance improvement,3 Days Ago,2024-11-24,Not disclosed
