,roles,companies,locations,experience,salary,Dates,PresentDate,skills
0,Nuclear Medicine Technologist,Lisie Hospital Pharmaceuticals,Kochi,0-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,hiraemergency responsedata analysisisox-rayradiologyaccident investigationmedicine
1,Medical Representative,Docdoz Pharma,"Chikmagalur, Chitradurga, Hassan, Davangere, Shimoga",0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,BasicSalesMedical RepresentativeMedical
2,Customer Representative,Acerise Technologies,Udaipur,0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,bponon voice processinternational bpocustomer relationshipback officecustomer servicecustomer complaintscustomer care
3,Resident Medical Officer,DOCTORS DOOR,Thrissur,0-20 Yrs,Not disclosed,30+ Days Ago,2024-11-24,MalayalamManagementpatient careprescriptionsMedical
4,Clincal Associate,Aster Medcity,Kochi,0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
5,Rheumatology: Consultant,Aster Medcity,Kochi,0-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
6,Pulmonology: Consultant,Aster Medcity,Kochi,0-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
7,Pulmonology: Specialist,Aster Medcity,Kochi,0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
8,Physical Medicine & Rehabilitation: Specialist,Aster Medcity,Kochi,0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
9,Orthopaedics: Specialist,Aster Medcity,Kochi,0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,EMERGENCYCASUALTYGNMcritical carePCBSCHealthcareConsultantmedicine
